😜	winking face with tongue	单眼吐舌	winking face with tongue | 单眼吐舌 | crazy | epic | eye | face | funny | joke | loopy | nutty | party | stuck out | tongue | wacky | weirdo | wink | winking | yolo | 单眼 | 古怪 | 吐舌 | 开玩笑 | 怪人 | 挤眉弄眼 | 脸
🤪	zany face	滑稽	zany face | 滑稽 | crazy | eye | eyes | face | goofy | large | small | zany | 大小眼 | 大眼 | 小眼 | 滑稽的脸 | 疯狂的脸 | 疯眼 | 疯脸 | 脸
😝	squinting face with tongue	眯眼吐舌	squinting face with tongue | 眯眼吐舌 | closed | eye | eyes | face | gross | horrible | omg | squinting | stuck out | taste | tongue | whatever | yolo | 可怕 | 吐舌 | 尝 | 眯眼 | 眼睛 | 脸 | 都好 | 随便
🤑	money-mouth face	发财	money mouth face | 发财 | face | money | money mouth | mouth | paid | 拜金 | 脸 | 见钱眼开 | 金钱至上 | 钱
🤗	smiling face with open hands	抱抱	smiling face with open hands | 抱抱 | face | hands | hug | hugging | open | smiling | 抱 | 拥抱 | 笑 | 脸
🤭	face with hand over mouth	不说	face with hand over mouth | 不说 | face | giggle | giggling | hand | mouth | oops | realization | secret | shock | sudden | surprise | whoops | 不可说 | 傻笑 | 吃吃傻笑 | 哎呀 | 意外 | 捂嘴而笑 | 猛然发现 | 秘密 | 脸
🫢	face with open eyes and hand over mouth	睁眼捂嘴	face with open eyes and hand over mouth | 睁眼捂嘴 | amazement | awe | disbelief | embarrass | eyes | face | gasp | hand | mouth | omg | open | over | quiet | scared | shock | surprise | 哇塞 | 哑口无言 | 害怕 | 尴尬 | 怀疑 | 惊奇 | 惊愕 | 惊讶 | 敬畏 | 震惊
🫣	face with peeking eye	偷看	face with peeking eye | 偷看 | captivated | embarrass | eye | face | hide | hiding | peek | peeking | peep | scared | shy | stare | 偷窥 | 凝视 | 害怕 | 害羞 | 尴尬 | 迷住
🤫	shushing face	安静的脸	shushing face | 安静的脸 | face | quiet | shh | shush | shushing | 嘘 | 嘘声手势的脸 | 安静
🤔	thinking face	想一想	thinking face | 想一想 | chin | consider | face | hmm | ponder | pondering | thinking | wondering | 思考 | 想 | 想事情 | 脸
🫡	saluting face	致敬	saluting face | 致敬 | face | good | luck | ma’am | ok | respect | salute | saluting | sir | troops | yes | 军队 | 好 | 好的 | 收到 | 敬礼 | 是 | 阳光
🤐	zipper-mouth face	闭嘴	zipper mouth face | 闭嘴 | face | keep | mouth | quiet | secret | shut | zip | zipper | zipper mouth | 住嘴 | 嘴 | 封口 | 秘密 | 脸
🤨	face with raised eyebrow	挑眉	face with raised eyebrow | 挑眉 | disapproval | disbelief | distrust | emoji | eyebrow | face | hmm | mild | raised | skeptic | skeptical | skepticism | surprise | what | 不信任 | 不敢置信 | 不赞同 | 怀疑 | 氧起眉毛的脸 | 眉毛上挑的脸 | 脸
😐	neutral face	冷漠	neutral face | 冷漠 | awkward | blank | deadpan | expressionless | face | fine | jealous | meh | neutral | oh | shade | straight | unamused | unhappy | unimpressed | whatever | 无感 | 脸 | 表情空洞 | 面无表情
😑	expressionless face	无语	expressionless face | 无语 | awkward | dead | expressionless | face | fine | inexpressive | jealous | meh | not | oh | omg | straight | uh | unhappy | unimpressed | whatever | 没有反应 | 绷着脸 | 脸 | 茫然 | 面无表情
😶	face without mouth	沉默	face without mouth | 沉默 | awkward | blank | expressionless | face | mouth | mouthless | mute | quiet | secret | silence | silent | speechless | 嘴 | 安静 | 没嘴 | 秘密 | 脸
🫥	dotted line face	虚线脸	dotted line face | 虚线脸 | depressed | disappear | dotted | face | hidden | hide | introvert | invisible | line | meh | whatever | wtv | 内向 | 无所谓 | 沮丧 | 消失 | 隐形 | 隐藏
😶‍🌫️	face in clouds	迷茫	face in clouds | 迷茫 | absentminded | clouds | face | fog | head
😏	smirking face	得意	smirking face | 得意 | boss | dapper | face | flirt | homie | kidding | leer | shade | slick | sly | smirk | smug | snicker | suave | suspicious | swag | 假笑 | 冷笑 | 得意的笑 | 脸 | 诡异地笑
😒	unamused face	不高兴	unamused face | 不高兴 | ... | bored | face | fine | jealous | jel | jelly | pissed | smh | ugh | uhh | unamused | unhappy | weird | whatever | 不屑 | 不服 | 不爽的脸 | 脸 | 郁闷 | 鄙视 | 随便啦
🙄	face with rolling eyes	翻白眼	face with rolling eyes | 翻白眼 | eyeroll | eyes | face | rolling | shade | ugh | whatever | 不敢苟同 | 无语 | 白眼 | 脸 | 随便啦
😬	grimacing face	龇牙咧嘴	grimacing face | 龇牙咧嘴 | awk | awkward | dentist | face | grimace | grimacing | grinning | smile | smiling | 咬牙切齿 | 尴尬 | 牙医 | 脸 | 露齿 | 露齿而笑 | 鬼脸
😮‍💨	face exhaling	呼气	face exhaling | 呼气 | blow | blowing | exhale | exhaling | exhausted | face | gasp | groan | relief | sigh | smiley | smoke | whisper | whistle | 叹息 | 叹气 | 吹气 | 呼气的脸 | 唉 | 无奈 | 松一口气 | 疲惫 | 笑脸 | 释然
🤥	lying face	说谎	lying face | 说谎 | face | liar | lie | lying | pinocchio | 匹诺曹 | 脸 | 长鼻子 | 长鼻子脸
🫨	shaking face	颤抖	shaking face | 颤抖 | crazy | daze | earthquake | face | omg | panic | shaking | shock | surprise | vibrate | whoa | wow | 哇 | 地震 | 天啊 | 惊喜 | 惊慌 | 晕头转向 | 疯狂 | 脸 | 震动 | 震惊
🙂‍↔️	head shaking horizontally	左右摇头	head shaking horizontally | 左右摇头 | head | horizontally | no | shake | shaking | 否定 | 摇头
🙂‍↕️	head shaking vertically	上下点头	head shaking vertically | 上下点头 | head | nod | shaking | vertically | yes | 点头，肯定
😌	relieved face	松了口气	relieved face | 松了口气 | calm | face | peace | relief | relieved | zen | 如释重负 | 松口气 | 脸 | 蝉
😔	pensive face	沉思	pensive face | 沉思 | awful | bored | dejected | died | disappointed | face | losing | lost | pensive | sad | sucks | 失落 | 心事重重 | 忧虑 | 脸
😪	sleepy face	困	sleepy face | 困 | crying | face | good | night | sad | sleep | sleeping | sleepy | tired | 哭 | 想睡 | 满脸睡容 | 疲惫 | 睡觉 | 瞌睡 | 脸
🤤	drooling face	流口水	drooling face | 流口水 | drooling | face | 口水 | 垂涎 | 垂涎三尺 | 流口水的脸 | 脸
😴	sleeping face	睡着了	sleeping face | 睡着了 | bed | bedtime | face | good | goodnight | nap | night | sleep | sleeping | tired | whatever | yawn | zzz | 呼噜 | 小睡 | 想睡 | 打呼 | 晚安 | 睡容 | 睡觉 | 累 | 累了 | 脸
🫩	face with bags under eyes	有眼袋	face with bags under eyes | 有眼袋 | bags | bored | exhausted | eyes | face | fatigued | late | sleepy | tired | weary | 厌倦 | 困倦 | 晚睡 | 熬夜 | 疲倦 | 疲劳 | 疲惫 | 眼 | 眼袋 | 脸
😷	face with medical mask	感冒	face with medical mask | 感冒 | cold | dentist | dermatologist | doctor | dr | face | germs | mask | medical | medicine | sick | 医生 | 口罩 | 戴口罩 | 戴口罩的脸 | 生病 | 病菌 | 脸
🤒	face with thermometer	发烧	face with thermometer | 发烧 | face | ill | sick | thermometer | 体温计 | 咬着体温计的脸 | 温度计 | 生病 | 脸 | 量体温
🤕	face with head-bandage	受伤	face with head bandage | 受伤 | bandage | face | head bandage | hurt | injury | ouch | 头绑绷带 | 打绷带 | 脸
🤢	nauseated face	恶心	nauseated face | 恶心 | face | gross | nasty | nauseated | sick | vomit | 吐 | 呕 | 恶心作呕的脸 | 脸 | 脸绿了
🤮	face vomiting	呕吐	face vomiting | 呕吐 | barf | ew | face | gross | puke | sick | spew | throw | up | vomit | vomiting | 不舒服 | 吐 | 呕吐的脸 | 生病 | 病容 | 病恹恹 | 脸
🤧	sneezing face	打喷嚏	sneezing face | 打喷嚏 | face | fever | flu | gesundheit | sick | sneeze | sneezing | 喷嚏 | 打喷嚏的脸 | 生病 | 脸 | 鼻涕
🥵	hot face	脸发烧	hot face | 脸发烧 | dying | face | feverish | heat | hot | panting | red faced | stroke | sweating | tongue | 中暑 | 冒汗 | 出汗 | 发烧 | 发热 | 吐舌 | 心狂跳 | 热 | 脸红
🥶	cold face	冷脸	cold face | 冷脸 | blue | blue faced | cold | face | freezing | frostbite | icicles | subzero | teeth | 冰柱 | 冷 | 冷冰冰 | 冻 | 冻僵 | 满面寒霜 | 脸 | 脸色发青 | 蓝色 | 零下
🥴	woozy face	头昏眼花	woozy face | 头昏眼花 | dizzy | drunk | eyes | face | intoxicated | mouth | tipsy | uneven | wavy | woozy | 两眼不平 | 喝醉 | 嘴唇颤抖 | 头晕目眩 | 头晕眼花 | 微醉 | 微醺 | 波浪嘴形 | 眩晕的脸 | 眼花 | 醉醺醺
😵	face with crossed-out eyes	晕头转向	face with crossed out eyes | 晕头转向 | crossed out | dead | dizzy | eyes | face | feels | knocked | out | sick | tired | 头晕 | 头晕眼花 | 晕头 | 晕头的脸 | 脸
😵‍💫	face with spiral eyes	晕	face with spiral eyes | 晕 | confused | dizzy | eyes | face | hypnotized | omg | smiley | spiral | trouble | whoa | woah | woozy | 哇 | 哎呀 | 头晕 | 笑脸 | 迷糊
🤯	exploding head	爆炸头	exploding head | 爆炸头 | blown | explode | exploding | head | mind | mindblown | no | shocked | way | 不可能 | 印象深刻 | 吓到了 | 惊吓 | 震惊
🤠	cowboy hat face	牛仔帽脸	cowboy hat face | 牛仔帽脸 | cowboy | cowgirl | face | hat | 帽 | 牛仔 | 脸
🥳	partying face	聚会笑脸	partying face | 聚会笑脸 | bday | birthday | celebrate | celebration | excited | face | happy | hat | hooray | horn | party | partying | 号角 | 喝彩 | 帽子 | 庆祝 | 派对 | 狂欢的脸 | 生日 | 聚会 | 脸 | 节日快乐
🥸	disguised face	伪装的脸	disguised face | 伪装的脸 | disguise | eyebrow | face | glasses | incognito | moustache | mustache | nose | person | spy | tache | tash | 人物 | 伪装 | 眉毛 | 眼镜 | 胡子 | 脸 | 间谍 | 隐瞒身份 | 鼻子
😎	smiling face with sunglasses	墨镜笑脸	smiling face with sunglasses | 墨镜笑脸 | awesome | beach | bright | bro | chilling | cool | face | rad | relaxed | shades | slay | smile | style | sunglasses | swag | win | 太阳镜 | 眼镜 | 耶 | 脸 | 酷 | 墨镜
🤓	nerd face	书呆子脸	nerd face | 书呆子脸 | brainy | clever | expert | face | geek | gifted | glasses | intelligent | nerd | smart | 专家 | 书呆子 | 天才 | 奇葩 | 宅男 | 极客 | 眼镜 | 眼镜笑脸 | 聪明 | 脸
🧐	face with monocle	带单片眼镜的脸	face with monocle | 带单片眼镜的脸 | classy | face | fancy | monocle | rich | stuffy | wealthy | 单眼镜 | 古板 | 奢华 | 富有 | 戴单眼镜的脸
😕	confused face	困扰	confused face | 困扰 | befuddled | confused | confusing | dunno | face | frown | hm | meh | not | sad | sorry | sure | 不懂 | 不确定 | 困惑 | 疑惑 | 脸
🫤	face with diagonal mouth	郁闷	face with diagonal mouth | 郁闷 | confused | confusion | diagonal | disappointed | doubt | doubtful | face | frustrated | frustration | meh | mouth | skeptical | unsure | whatever | wtv | 不相信 | 不确定 | 困惑 | 失望 | 怀疑 | 无所谓 | 无聊 | 沮丧 | 疑惑 | 迷惘
😟	worried face	担心	worried face | 担心 | anxious | butterflies | face | nerves | nervous | sad | stress | stressed | surprised | worried | worry | 不高兴 | 伤心 | 忧心的脸 | 意外 | 担忧 | 焦虑 | 紧张 | 脸
🙁	slightly frowning face	微微不满	slightly frowning face | 微微不满 | face | frown | frowning | sad | slightly | 不开心 | 不高兴 | 不高兴的脸 | 委屈 | 小委屈 | 心情不好 | 脸
☹️	frowning face	不满	frowning face | 不满 | face | frown | frowning | sad | 不爽 | 不高兴 | 委屈 | 皱眉 | 皱眉的脸 | 脸
😮	face with open mouth	吃惊	face with open mouth | 吃惊 | believe | face | forgot | mouth | omg | open | shocked | surprised | sympathy | unbelievable | unreal | whoa | wow | you | 同情 | 啊 | 忘记 | 我不信 | 我的天 | 脸
😯	hushed face	缄默	hushed face | 缄默 | epic | face | hushed | omg | stunned | surprised | whoa | woah | 吃惊 | 哦 | 我的天 | 脸 | 静而无语
😲	astonished face	震惊	astonished face | 震惊 | astonished | cost | face | no | omg | shocked | totally | way | 不可以 | 惊 | 惊讶 | 惊讶的脸 | 没可能 | 绝不 | 脸
😳	flushed face	脸红	flushed face | 脸红 | amazed | awkward | crazy | dazed | dead | disbelief | embarrassed | face | flushed | geez | heat | hot | impressed | jeez | what | wow | 困惑 | 天呀 | 害羞 | 羞涩 | 脸 | 茫然 | 迷茫 | 难以置信
🥺	pleading face	恳求的脸	pleading face | 恳求的脸 | begging | big | eyes | face | mercy | not | pleading | please | pretty | puppy | sad | why | 可怜兮兮的眼神 | 大眼睛 | 小狗的脸 | 怜悯 | 祈求 | 祈求的脸 | 脸 | 请求
🥹	face holding back tears	忍住泪水	face holding back tears | 忍住泪水 | admiration | aww | back | cry | embarrassed | face | feelings | grateful | gratitude | holding | joy | please | proud | resist | sad | tears | 哭泣 | 喜极而泣 | 尴尬 | 悲伤 | 情绪 | 感激 | 感谢 | 抗拒 | 拜托 | 生气 | 自豪
😦	frowning face with open mouth	啊	frowning face with open mouth | 啊 | caught | face | frown | frowning | guard | mouth | open | scared | scary | surprise | what | wow | 惊讶 | 意外 | 目瞪口呆 | 脸
😧	anguished face	极度痛苦	anguished face | 极度痛苦 | anguished | face | forgot | scared | scary | stressed | surprise | unhappy | what | wow | 痛 | 痛啊 | 痛苦 | 脸 | 难受
😨	fearful face	害怕	fearful face | 害怕 | afraid | anxious | blame | face | fear | fearful | scared | worried | 不安 | 怕 | 恐怖 | 恐惧 | 脸
😰	anxious face with sweat	冷汗	anxious face with sweat | 冷汗 | anxious | blue | cold | eek | face | mouth | nervous | open | rushed | scared | sweat | yikes | 张嘴冒冷汗的脸 | 惊讶 | 无语 | 汗 | 焦虑 | 紧张 | 脸
😥	sad but relieved face	失望但如释重负	sad but relieved face | 失望但如释重负 | anxious | call | close | complicated | disappointed | face | not | relieved | sad | sweat | time | whew | 下次吧 | 出冷汗 | 失望 | 失望但解脱 | 如释重负 | 脸
😢	crying face	哭	crying face | 哭 | awful | cry | crying | face | feels | miss | sad | tear | triste | unhappy | 伤心 | 哀伤 | 哭脸 | 泪 | 脸
😭	loudly crying face	放声大哭	loudly crying face | 放声大哭 | bawling | cry | crying | face | loudly | sad | sob | tear | tears | unhappy | 哭 | 大哭 | 放声大哭的脸 | 泪 | 痛哭 | 脸
😱	face screaming in fear	吓死了	face screaming in fear | 吓死了 | epic | face | fear | fearful | munch | scared | scream | screamer | screaming | shocked | surprised | woah | 吓死 | 害怕 | 尖叫 | 恐怖 | 惊吓大叫的脸 | 脸
😖	confounded face	困惑	confounded face | 困惑 | annoyed | confounded | confused | cringe | distraught | face | feels | frustrated | mad | sad | 困惑的脸 | 焦头烂额 | 纠结 | 脸
😣	persevering face	痛苦	persevering face | 痛苦 | concentrate | concentration | face | focus | headache | persevere | persevering | 专注 | 入定 | 头痛 | 忍耐 | 脸 | 难受
😞	disappointed face	失望	disappointed face | 失望 | awful | blame | dejected | disappointed | face | fail | losing | sad | unhappy | 不高兴 | 失望的脸 | 脸 | 难过
😓	downcast face with sweat	汗	downcast face with sweat | 汗 | close | cold | downcast | face | feels | headache | nervous | sad | scared | sweat | yikes | 冒冷汗 | 冒汗 | 冷 | 尴尬 | 担心 | 脸
😩	weary face	累死了	weary face | 累死了 | crying | face | fail | feels | hungry | mad | nooo | sad | sleepy | tired | unhappy | weary | 疲倦 | 疲劳 | 疲惫 | 累 | 脸
😫	tired face	累	tired face | 累 | cost | face | feels | nap | sad | sneeze | tired | 倦容 | 疲倦 | 疲劳 | 疲惫 | 脸
🥱	yawning face	打呵欠	yawning face | 打呵欠 | bedtime | bored | face | goodnight | nap | night | sleep | sleepy | tired | whatever | yawn | yawning | zzz | 呵欠 | 哈欠 | 困 | 困倦 | 夜里 | 打哈欠 | 打哈欠的脸 | 无聊 | 昏昏欲睡 | 晚安 | 疲倦 | 累
😤	face with steam from nose	傲慢	face with steam from nose | 傲慢 | anger | angry | face | feels | fume | fuming | furious | fury | mad | nose | steam | triumph | unhappy | won | 不爽 | 愤怒 | 气炸了 | 胜利 | 自负 | 赢 | 趾高气昂
😡	enraged face	怒火中烧	enraged face | 怒火中烧 | anger | angry | enraged | face | feels | mad | maddening | pouting | rage | red | shade | unhappy | upset | 发火 | 发飙 | 怒 | 生气 | 脸
😠	angry face	生气	angry face | 生气 | anger | angry | blame | face | feels | frustrated | mad | maddening | rage | shade | unhappy | upset | 不爽 | 不高兴 | 怒 | 愤怒 | 脸
🤬	face with symbols on mouth	嘴上有符号的脸	face with symbols on mouth | 嘴上有符号的脸 | censor | cursing | cussing | face | mad | mouth | pissed | swearing | symbols | 不爽 | 发誓 | 咒骂 | 生气 | 碎碎唸的脸 | 脸 | 诅咒
😈	smiling face with horns	恶魔微笑	smiling face with horns | 恶魔微笑 | demon | devil | evil | face | fairy | fairytale | fantasy | horns | purple | shade | smile | smiling | tale | 幻想 | 微笑 | 犄角 | 神话故事 | 脸 | 邪魔
👿	angry face with horns	生气的恶魔	angry face with horns | 生气的恶魔 | angry | demon | devil | evil | face | fairy | fairytale | fantasy | horns | imp | mischievous | purple | shade | tale | 带角的怒容 | 幻想 | 恶魔 | 犄角 | 脸 | 顽童
💀	skull	头骨	skull | 头骨 | body | dead | death | face | fairy | fairytale | i’m | lmao | monster | tale | yolo | 妖怪 | 怪兽 | 死亡 | 神话故事 | 脸 | 身体 | 骷髅
☠️	skull and crossbones	骷髅	skull and crossbones | 骷髅 | bone | crossbones | dead | death | face | monster | skull | 交叉股骨 | 头骨 | 妖怪 | 怪物 | 死亡 | 海盗 | 脸 | 骨头
💩	pile of poo	大便	pile of poo | 大便 | bs | comic | doo | dung | face | fml | monster | pile | poo | poop | smelly | smh | stink | stinks | stinky | turd | 好臭 | 屎 | 怪物 | 粑粑 | 脸 | 臭
🤡	clown face	小丑脸	clown face | 小丑脸 | clown | face | 小丑 | 脸
👹	ogre	食人魔	ogre | 食人魔 | creature | devil | face | fairy | fairytale | fantasy | mask | monster | scary | tale | 吓人 | 妖怪 | 幻想 | 日本 | 神话故事 | 脸 | 面具 | 鬼 | 魔鬼
👺	goblin	小妖精	goblin | 小妖精 | angry | creature | face | fairy | fairytale | fantasy | mask | mean | monster | tale | 妖怪 | 幻想 | 怪物 | 日本 | 神话故事 | 脸 | 鬼
👻	ghost	鬼	ghost | 鬼 | boo | creature | excited | face | fairy | fairytale | fantasy | halloween | haunting | monster | scary | silly | tale | 万圣节 | 妖怪 | 幻想 | 幽灵 | 怪物 | 神话故事 | 脸 | 鬼脸
👽	alien	外星人	alien | 外星人 | creature | extraterrestrial | face | fairy | fairytale | fantasy | monster | space | tale | ufo | 外太空 | 外星 | 太空 | 幻想 | 星际 | 脸 | 飞碟
👾	alien monster	外星怪物	alien monster | 外星怪物 | alien | creature | extraterrestrial | face | fairy | fairytale | fantasy | game | gamer | games | monster | pixelated | space | tale | ufo | 外星 | 外星人 | 太空 | 怪物 | 星际 | 脸 | 飞碟
🤖	robot	机器人	robot | 机器人 | face | monster | 怪物 | 脸
😺	grinning cat	大笑的猫	grinning cat | 大笑的猫 | animal | cat | face | grinning | mouth | open | smile | smiling | 哈哈 | 大笑的猫脸 | 猫脸 | 笑 | 脸
😸	grinning cat with smiling eyes	微笑的猫	grinning cat with smiling eyes | 微笑的猫 | animal | cat | eye | eyes | face | grin | grinning | smile | smiling | 呵呵 | 微笑的猫脸 | 猫脸 | 笑 | 笑颜逐开 | 脸
😹	cat with tears of joy	笑出眼泪的猫	cat with tears of joy | 笑出眼泪的猫 | animal | cat | face | joy | laugh | laughing | lol | tear | tears | 喜极而泣 | 快乐 | 猫脸 | 眼泪 | 笑出眼泪 | 笑出眼泪的猫脸 | 脸
😻	smiling cat with heart-eyes	花痴的猫	smiling cat with heart eyes | 花痴的猫 | animal | cat | eye | face | heart | heart eyes | love | smile | smiling | wc | 喜欢 | 心 | 猫 | 猫脸 | 脸 | 花痴 | 花痴的猫脸
😼	cat with wry smile	奸笑的猫	cat with wry smile | 奸笑的猫 | animal | cat | face | ironic | smile | wry | 嘲讽笑容 | 奸笑 | 奸笑的猫脸 | 猫脸 | 脸 | 讽刺
😽	kissing cat	亲亲猫	kissing cat | 亲亲猫 | animal | cat | closed | eye | eyes | face | kiss | kissing | 亲亲 | 吻 | 猫脸 | 猫脸亲亲 | 脸 | 闭眼亲亲的猫脸
🙀	weary cat	疲倦的猫	weary cat | 疲倦的猫 | animal | cat | face | oh | surprised | weary | 惊讶 | 猫脸 | 疲倦 | 疲倦的猫脸 | 疲劳 | 疲惫 | 累 | 脸
😿	crying cat	哭泣的猫	crying cat | 哭泣的猫 | animal | cat | cry | crying | face | sad | tear | 哭 | 哭泣的猫脸 | 泪 | 猫脸 | 眼泪 | 脸 | 难过
😾	pouting cat	生气的猫	pouting cat | 生气的猫 | animal | cat | face | pouting | 猫脸 | 生气 | 生气的猫脸 | 脸
🙈	see-no-evil monkey	非礼勿视	see no evil monkey | 非礼勿视 | embarrassed | evil | face | forbidden | forgot | gesture | hide | monkey | no | omg | prohibited | scared | secret | smh | watch | 不许看 | 别看 | 尴尬 | 糗 | 脸 | 蒙住眼睛 | 蒙眼
🙉	hear-no-evil monkey	非礼勿听	hear no evil monkey | 非礼勿听 | animal | ears | evil | face | forbidden | gesture | hear | listen | monkey | no | not | prohibited | secret | shh | tmi | 嘘 | 堵上耳朵 | 堵耳 | 猴子 | 脸
🙊	speak-no-evil monkey	非礼勿言	speak no evil monkey | 非礼勿言 | animal | evil | face | forbidden | gesture | monkey | no | not | oops | prohibited | quiet | secret | speak | stealth | 不许说 | 捂上嘴巴 | 捂嘴 | 秘密 | 脸
💌	love letter	情书	love letter | 情书 | heart | letter | love | mail | romance | valentine | 信 | 心 | 邮件
💘	heart with arrow	心中箭了	heart with arrow | 心中箭了 | 143 | adorbs | arrow | cupid | date | emotion | heart | ily | love | romance | valentine | 一箭穿心 | 丘比特 | 我爱你 | 浪漫 | 爱情 | 箭 | 红心
